country,discipline,url
LTU,sailing-laser-radial-women-medal-race.js,https://www.rio2016.com/en/sailing-laser-radial-women-medal-race
ARM,wrestling-mfs-125-kg-bronze.js,https://www.rio2016.com/en/wrestling-mfs-125-kg-bronze
CHN,shooting-25m-pistol-womens-bronze-medal-match.js,https://www.rio2016.com/en/shooting-25m-pistol-womens-bronze-medal-match
COL,cycling-track-mens-omnium-points-race-6-6.js,https://www.rio2016.com/en/cycling-track-mens-omnium-points-race-6-6
USA,athletics-womens-high-jump-final.js,https://www.rio2016.com/en/athletics-womens-high-jump-final
POR,canoe-sprint-mens-kayak-double-1000m-final-a.js,https://www.rio2016.com/en/canoe-sprint-mens-kayak-double-1000m-final-a
FRA,modern-pentathlon-mens-combined-running-shooting.js,https://www.rio2016.com/en/modern-pentathlon-mens-combined-running-shooting
CHN,swimming-womens-100m-breaststroke-final.js,https://www.rio2016.com/en/swimming-womens-100m-breaststroke-final
FRA,fencing-womens-sabre-indiv-bronze-medal-bout.js,https://www.rio2016.com/en/fencing-womens-sabre-indiv-bronze-medal-bout
CRO,wrestling-mgr-75-kg-bronze.js,https://www.rio2016.com/en/wrestling-mgr-75-kg-bronze
GBR,swimming-womens-400m-individual-medley-final.js,https://www.rio2016.com/en/swimming-womens-400m-individual-medley-final
SUI,equestrian-jumping-individual-jump-off.js,https://www.rio2016.com/en/equestrian-jumping-individual-jump-off
SRB,rowing-mens-pair-final-a.js,https://www.rio2016.com/en/rowing-mens-pair-final-a
RUS,swimming-mens-4-x-100m-medley-relay-final.js,https://www.rio2016.com/en/swimming-mens-4-x-100m-medley-relay-final
CAN,judo-men-66-kg-contest-for-bronze-medal-b.js,https://www.rio2016.com/en/judo-men-66-kg-contest-for-bronze-medal-b
USA,equestrian-dressage-individual-grand-prix-freestyle.js,https://www.rio2016.com/en/equestrian-dressage-individual-grand-prix-freestyle
CAN,athletics-mens-5000m-final.js,https://www.rio2016.com/en/athletics-mens-5000m-final
MAR,taekwondo-women-67kg-bronze-medal-contests-tk-3.js,https://www.rio2016.com/en/taekwondo-women-67kg-bronze-medal-contests-tk-3
TTO,rowing-womens-single-sculls-final-a.js,https://www.rio2016.com/en/rowing-womens-single-sculls-final-a
KAZ,canoe-sprint-mens-kayak-double-200m-final-a.js,https://www.rio2016.com/en/canoe-sprint-mens-kayak-double-200m-final-a
GBR,athletics-womens-100m-hurdles-final.js,https://www.rio2016.com/en/athletics-womens-100m-hurdles-final
BLR,cycling-track-womens-omnium-points-race-6-6.js,https://www.rio2016.com/en/cycling-track-womens-omnium-points-race-6-6
ITA,rowing-mens-double-sculls-final-a.js,https://www.rio2016.com/en/rowing-mens-double-sculls-final-a
CHN,trampoline-gymnastics-womens-final-gt-2.js,https://www.rio2016.com/en/trampoline-gymnastics-womens-final-gt-2
ETH,athletics-womens-marathon.js,https://www.rio2016.com/en/athletics-womens-marathon
CUB,judo-men-100-kg-contest-for-bronze-medal-b-ju-2.js,https://www.rio2016.com/en/judo-men-100-kg-contest-for-bronze-medal-b-ju-2
EST,athletics-mens-decathlon-1500m-heat-2.js,https://www.rio2016.com/en/athletics-mens-decathlon-1500m-heat-2
USA,wrestling-mfs-125-kg-bronze-wr-2.js,https://www.rio2016.com/en/wrestling-mfs-125-kg-bronze-wr-2
NZL,cycling-track-mens-team-pursuit-finals-bronze.js,https://www.rio2016.com/en/cycling-track-mens-team-pursuit-finals-bronze
